FID_10,maj10,majper10,maj50,majper50,maj100,majper100,majit,majperit,IT_code_ITs,distance,size_km2,group,defit,def10,def50,def100
184.0000000,100.0000000,62.3566000,100.0000000,76.1030000,100.0000000,79.9332000,100.0000000,88.6480000,3593.0000000,15.0000000,7364.2797852,686.0000000,11.3520002,37.6433983,23.8969994,20.0667992
185.0000000,100.0000000,72.0548000,100.0000000,76.7918000,100.0000000,74.3001000,100.0000000,94.9491000,3722.0000000,35.0000000,3309.1699219,185.0000000,5.0509000,27.9452000,23.2082005,25.6998997
186.0000000,100.0000000,70.9807000,100.0000000,72.2677000,100.0000000,68.7188000,100.0000000,84.4795000,4467.0000000,56.0000000,82.0000000,186.0000000,15.5205002,29.0193005,27.7322998,31.2812004
188.0000000,100.0000000,94.4103000,100.0000000,80.7412000,100.0000000,81.5870000,100.0000000,96.2093000,3810.0000000,0.0000000,6763.5297852,692.0000000,3.7907000,5.5897002,19.2588005,18.4130001
193.0000000,100.0000000,94.1121000,100.0000000,96.2660000,100.0000000,73.9786000,100.0000000,99.5393000,3728.0000000,85.0000000,1292.4899902,691.0000000,0.4607000,5.8878999,3.7340000,26.0214005
196.0000000,100.0000000,82.1773000,100.0000000,86.1483000,100.0000000,90.4182000,100.0000000,96.1359000,3718.0000000,121.0000000,6025.8901367,692.0000000,3.8641000,17.8227005,13.8516998,9.5818005
199.0000000,100.0000000,66.3854000,100.0000000,69.4310000,75.0000000,50.1789000,100.0000000,78.9029000,3608.0000000,63.0000000,1167.8199463,690.0000000,21.0970993,33.6146011,30.5690002,50.1789017
201.0000000,100.0000000,93.3682000,100.0000000,86.1046000,100.0000000,86.6874000,100.0000000,97.6548000,3980.0000000,1.0000000,1241.0300293,650.0000000,2.3452001,6.6318002,13.8954000,13.3126001
202.0000000,100.0000000,71.9545000,100.0000000,64.0119000,100.0000000,61.0580000,100.0000000,82.1954000,4103.0000000,102.0000000,1502.0300293,685.0000000,17.8045998,28.0454998,35.9880981,38.9420013
203.0000000,100.0000000,76.7655000,100.0000000,73.7659000,100.0000000,78.5116000,100.0000000,96.2669000,3617.0000000,28.0000000,15411.6503906,685.0000000,3.7330999,23.2345009,26.2341003,21.4883995
204.0000000,100.0000000,80.3188000,100.0000000,78.3350000,100.0000000,81.5049000,100.0000000,92.7602000,3879.0000000,45.0000000,552.5000000,664.0000000,7.2398000,19.6812000,21.6650009,18.4951000
205.0000000,100.0000000,88.5981000,100.0000000,81.2521000,100.0000000,74.2466000,100.0000000,85.3907000,5202.0000000,0.0000000,1428.1800537,696.0000000,14.6092997,11.4019003,18.7479000,25.7534008
206.0000000,100.0000000,42.5087000,100.0000000,47.3306000,100.0000000,42.0540000,100.0000000,70.2145000,3700.0000000,0.0000000,1925.9799805,768.0000000,29.7854996,57.4912987,52.6693993,57.9459991
207.0000000,100.0000000,96.4734000,100.0000000,87.9017000,100.0000000,73.7295000,100.0000000,97.3996000,3814.0000000,0.0000000,473.8999939,683.0000000,2.6004000,3.5265999,12.0983000,26.2705002
208.0000000,100.0000000,60.6850000,100.0000000,73.6430000,100.0000000,70.0901000,100.0000000,96.6769000,4176.0000000,0.0000000,252.4100037,208.0000000,3.3231001,39.3149986,26.3570004,29.9099007
209.0000000,100.0000000,51.3116000,100.0000000,77.1722000,100.0000000,82.9428000,100.0000000,77.9866000,3962.0000000,0.0000000,1187.3100586,209.0000000,22.0133991,48.6884003,22.8278008,17.0571995
211.0000000,100.0000000,71.3997000,100.0000000,79.1767000,100.0000000,75.1134000,100.0000000,95.6314000,3852.0000000,53.0000000,2300.3000488,681.0000000,4.3685999,28.6002998,20.8232994,24.8866005
212.0000000,100.0000000,51.6185000,100.0000000,64.0265000,100.0000000,64.6684000,100.0000000,53.3192000,4161.0000000,10.0000000,134.0599976,212.0000000,46.6808014,48.3815002,35.9734993,35.3316002
213.0000000,100.0000000,90.4924000,100.0000000,91.0896000,100.0000000,63.0436000,100.0000000,95.6142000,4980.0000000,75.0000000,429.2300110,213.0000000,4.3857999,9.5075998,8.9104004,36.9564018
214.0000000,100.0000000,85.4258000,100.0000000,78.3566000,100.0000000,79.2331000,100.0000000,93.1739000,4062.0000000,33.0000000,2513.0000000,683.0000000,6.8260999,14.5741997,21.6434002,20.7668991
215.0000000,100.0000000,61.6975000,100.0000000,64.4652000,100.0000000,55.3012000,100.0000000,64.7125000,4153.0000000,43.0000000,186.9499969,215.0000000,35.2874985,38.3025017,35.5348015,44.6987991
216.0000000,100.0000000,66.3058000,100.0000000,50.4239000,0.0000000,54.4391000,100.0000000,99.3518000,3717.0000000,92.0000000,2323.2199707,691.0000000,0.6482000,33.6941986,49.5760994,45.5609016
217.0000000,100.0000000,96.9541000,100.0000000,85.1123000,100.0000000,82.6914000,100.0000000,98.4609000,3738.0000000,38.0000000,449.1199951,691.0000000,1.5391001,3.0459001,14.8877001,17.3085995
